Case Number,Date,Year,Month,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,href formula
1962.09.02,02-Sep-62,1962,9,Unprovoked,ITALY,Tyrrhenian Sea,"Circeo, Secca del Quadro",Spearfishing with Scuba gear,M,28,"FATAL, multiple injuries to both legs  ",Y,10h20,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.09.02-Sarra.pdf
1962.08.31.R,Reported 31-Aug-1962,1962,8,Provoked,ISRAEL,Sharon,2 km north of Apollonia,Fishing,M,UNKNOWN,"Details unknown, possibly a PROVOKED INCIDENT",UNKNOWN,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.08.31.R-Israel.pdf
"1962,08.30.b",30-Aug-62,1962,8,Boat,TURKEY,Antalya Province,Ucagiz,UNKNOWN,M,UNKNOWN,No injury ,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.08.30.b-pdf
1962.08.30.a,30-Aug-62,1962,8,Provoked,PAPUA NEW GUINEA,Northern District,Kufulu Point,Fishing,M,49,Posterior lower left leg lacerated by netted shark PROVOKED INCIDENT,N,Midday,Sandbar Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.08.30.a-Setiro.pdf
1962.08.29,29-Aug-62,1962,8,Provoked,USA,California,"Solana Beach, San Diego County",Diving for abalone,M,39,"Struck shark with abalone bar to scare it away from abalone, but shark bit his shoulder  PROVOKED INCIDENT",N,08h30,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.08.29-Harris.pdf
1962.08.26,26-Aug-62,1962,8,Boat,USA,Florida,6 miles north of Palm Beach,UNKNOWN,UNKNOWN,UNKNOWN,"No injury to occupants, sharks tore Max Butcher's life jacket & pants",N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.08.26 - Thorne.pdf
1962.08.23,23-Aug-62,1962,8,Boat,SOUTH AFRICA,Western Cape Province,Robbesteen,Fishing,UNKNOWN,UNKNOWN,"No injury to occupants, shark hit boat, lifting it from the water, bit & dented propeller",N,12h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.08.23-HolmesBoat.pdf
1962.08.19,19-Aug-62,1962,8,Unprovoked,USA,Texas,"Off Andy Bowie Park, Padre Island, near Port Isabel",Surf fishing in waist-deep water,M,40,"FATAL, lower right leg bitten",Y,15h30,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.08.19-Fix.pdf
1962.08.12,12-Aug-62,1962,8,Unprovoked,USA,New Jersey,"Manasquan, Ocean County",Standing,M,24,Left thigh & hand bitten,N,14h00 - 15h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.08.12 - Roman.pdf
1962.08.01,01-Aug-62,1962,8,Unprovoked,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Pekinberui Village, Tabar Island",Spearfishing,M,(adult),"FATAL, right thigh severely bitten, right ankle lacerated ",Y,17h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.08.01-Tarara.pdf
1962.08.00.b,Late Aug-1962,1962,8,Unprovoked,ITALY,Tyrrhenian Sea,"Circeo, Secca del Faro",Diving,M,UNKNOWN,No injury,N,UNKNOWN,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.08.00.b-Mattacchione.pdf
1962.08.00.a,Aug-62,1962,8,Unprovoked,SENEGAL,Cap Vert Peninsula,UNKNOWN,Beach seine netting,M,23,Ankle bitten,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.08.00.a-Senegal.pdf
1962.07.28,28-Jul-62,1962,7,Unprovoked,USA,South Carolina,"Off Hilton Head, Beaufort County ",Standing,M,21,Lacerations on left foot & hand,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.07.28-Stein.pdf
1962.07.20,20-Jul-62,1962,7,Provoked,MADAGASCAR,UNKNOWN,"Onboard tuna boat, M.V. Toscui Maru",Finning the shark,M,20,Right calf lacerated by boated shark PROVOKED INCIDENT,N,Morning,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.07.20-Masnori.pdf
1962.07.19,19-Jul-62,1962,7,Provoked,USA,California,30 miles south of San Clemente Island,Fishing for albacore,M,19,"2 lacerations on left hand by hooked shark, PROVOKED INCIDENT",N,16h30,Blue Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.07.19-Cervantes.pdf
1962.07.10,10-Jul-62,1962,7,Unprovoked,USA,Georgia,"St. Simons Island or Jeykll Island, Glynn County",Playing in surf with his child  (9),M,41,"Cuts on fingers, hand & wrist",N,17h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.07.10-Hancock.pdf
1962.07.07,07-Jul-62,1962,7,Unprovoked,USA,Georgia,"Jekyll Island, Glynn County",Dived from inner-tube,M,13,Laceration on hand,N,14h10,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.07.07-Duncan.pdf
1962.07.03.R,Reported 03-Jul-1962,1962,7,Invalid,GREECE,Cyclades,Near Mykonos Island,UNKNOWN,UNKNOWN,UNKNOWN,No injury,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.07.03.R-Greece.pdf
1962.06.25,25-Jun-62,1962,6,Invalid,USA,Florida,"Fernandina Beach, Nassau County",U.S. Airforce crewman reported missing after bailing out of jet,M,UNKNOWN,FATAL,Y,UNKNOWN,Shark involvement not confirmed,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.06.25-NV-AirForce-bailout.pdf
1962.06.21,21-Jun-62,1962,6,Boat,SOUTH AFRICA,Western Cape Province,"Millers Point, False Bay","On a ""shark hunt""",UNKNOWN,UNKNOWN,"No injury to occupants, shark charged boat, then 2 more sharks hit boat, oar grabbed, boat finally drifted ashore at 02h00",N,21h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.06.21-MillersPointBoat.pdf
1962.06.17,17-Jun-62,1962,6,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Rolled off raft,M,11,"8"" laceration on left calf",N,11h50,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.06.17-BarryReed.pdf
1962.06.11.b,11-Jun-62,1962,6,Unprovoked,USA,California,San Francisco Bay,Escaping from Alacatraz,M,31,2 toes bitten off ,N,night,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.06.11.c-Anglin.pdf
1962.06.11.b,11-Jun-62,1962,6,Unprovoked,USA,California,San Francisco Bay,Escaping from Alacatraz,M,32,"FATAL, but shark involvement uncomfirmed. Death may have been due to drowning.",Y,Night,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.06.11.b-Anglin.pdf
1962.06.11.a,11-Jun-62,1962,6,Unprovoked,USA,California,San Francisco Bay,Escaping from Alacatraz,M,35,"FATAL, but shark involvement uncomfirmed. Death may have been due to drowning.",Y,Night,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.06.11.a-Morris.pdf
1962.06.10.b,10-Jun-62,1962,6,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Mouth of Suareng River, a mile from Taludig",Washing,M,UNKNOWN,"FATAL, chest & leg bitten ",Y,Midday,Bronze Whaler Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.06.10.b-boy-Aitape.pdf
1962.06.10.a,10-Jun-62,1962,6,Unprovoked,USA,South Carolina,"Hilton Head, Beaufort County",Standing,M,13,Thigh bitten,N,16h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.06.10.a-Glenn.pdf
1962.06.07,07-Jun-62,1962,6,Boat,AUSTRALIA,Western Australia,Emu Point,Fishing,UNKNOWN,UNKNOWN,"No injury to occupant, shark grabbed anchor rope, pulling bow of boat downward & then bit bow of boat",N,07h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.06.07-StephensenBoat.pdf
1962.06.04,04-Jun-62,1962,6,Provoked,USA,California,"12' tank at Steinhart Aquarium, San Francisco","Scuba diving, attempting to catch a captive shark",M,55,Right forearm bitten PROVOKED INCIDENT,N,13h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.06.04-Green.pdf
1962.06.03,03-Jun-62,1962,6,Unprovoked,USA,Florida,"Riviera Beach, near Palm Beach Inlet, Palm Beach County",Free diving,M,31,Left foot bitten,N,12h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.06.03-Dammann.pdf
1962.05.29,29-May-62,1962,5,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",UNKNOWN,M,17,Bitten on leg or ankle,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.05.29-Jupiter-boy.pdf
1962.05.12,12-May-62,1962,5,Sea Disaster,USA,California,"8 miles off Newport Beach, Orange County",25-foot cabin cruiser Happy Jack sank in heavy seas,UNKNOWN,UNKNOWN,Bodies of 5 of the 6 men on board were bitten by by sharks. Sharks may have contributed to the death of some of them.,Y,03h45 - 04h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.05.12-HappyJack.pdf
1962.05.00.R,May-62,1962,5,Boat,FIJI,Viti Levu,Near Suva,Fishing,UNKNOWN,UNKNOWN,"No injury, sharks rammed boat and bit outboard motor",N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.05.00-Suva-Fiji.pdf
1962.04.20,20-Apr-62,1962,4,Provoked,AUSTRALIA,Queensland,Nobbys Beach,Fishing,UNKNOWN,UNKNOWN,"No injury to occupants, hooked shark cracked hull PROVOKED INCIDENT",N,UNKNOWN,Bronze Whaler Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.04.20-Sturdy.pdf
1962.04.09,09-Apr-62,1962,4,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,16,"Leg bitten, surgically amputated at knee",N,10h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.04.09-Martin.pdf
1962.04.07,07-Apr-62,1962,4,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umhlali,Wading,M,13,Left ankle & foot bitten,N,11h30,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.04.07-Blane.pdf
1962.04.05,05-Apr-62,1962,4,Provoked,SOUTH AFRICA,Eastern Cape Province,East London,Fishing,UNKNOWN,UNKNOWN,Hooked shark bit boat PROVOKED INCIDENT,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.04.05-Cockroft.pdf
1962.03.25.b,25-Mar-62,1962,3,Provoked,NEW ZEALAND,"Off the Coromandel Peninsula, North Island",Alderman Islands,UNKNOWN,M,UNKNOWN,Left foot bitten by hooked shark PROVOKED INCIDENT,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.03.25.b-Luxton.pdf
1962.03.25.a,25-Mar-62,1962,3,Boat,AUSTRALIA,New South Wales,Norah Head,Fishing & spearfishing,UNKNOWN,UNKNOWN,No injury to occupants. Shark holed boat & they swam 200 yards to shore,N,UNKNOWN,Bronze Whaler Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.03.25.a-KempBoat.pdf
1962.03.24,24-Mar-62,1962,3,Unprovoked,PAPUA NEW GUINEA,Madang,Matukar village ,Swimming,M,10,"FATAL, calf bitten, other leg severed below knee",Y,Late afternoon,Bronze Whaler Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.03.24-Kes.pdf
1962.02.23,23-Feb-62,1962,2,Unprovoked,PAPUA NEW GUINEA,Central Province,Fisherman�s Island near Port Moresby,Swimming along a row of nets,M,UNKNOWN,Torso lacerated,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.02.23-Hekure.pdf
1962.02.18,18-Feb-62,1962,2,Provoked,NEW ZEALAND,Southland,Long Beach,Swimming,M,15,"Mistook shark's tail for kelp & grabbed it, legs abraded by shark's fins PROVOKED INCIDENT",N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.02.18-Mason.pdf
1962.02.15,15-Feb-62,1962,2,Unprovoked,AUSTRALIA,Queensland,Between Smith�s Rock & Moreton Island,Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it,M,UNKNOWN,Middle finger of right hand lacerated,N,A.M.,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.02.15-Hansen.pdf
1962.02.07,07-Feb-62,1962,2,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,Swimming,M,22,"FATAL, calf bitten twice",Y,09h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.02.07-Hoogvorst.pdf
1962.02.05,05-Feb-62,1962,2,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,Treading water,M,13,"FATAL, tissue removed from thigh, femoral artery severed ",Y,16h20,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.02.05-Nielsen.pdf
1962.02.04,04-Feb-62,1962,2,Unprovoked,AUSTRALIA,Queensland,Greenmount Beach,Swimming,M,35,Shin bitten,N,14h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.02.04-Maloney.pdf
