Case Number,Date,Year,Month,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,href formula
1995.06.17.b,17-Jun-95,1995,6,Unprovoked,USA,South Carolina,"Garden City Beach, Horry County",Surfing,M,UNKNOWN,Foot bitten,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.06.17.b-Whitney.pdf
1995.06.17.a,17-Jun-95,1995,6,Unprovoked,USA,Florida,"Jensen Beach Park, Martin County",Swimming,M,45,Right leg bitten,N,18h30?,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.06.17.a-Lucas.pdf
1995.06.16,16-Jun-95,1995,6,Unprovoked,USA,Florida,"Tiger Shores Beach, Martin County",Swimming,F,10,Leg bitten,N,14h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.06.16-Delmans.pdf
1995.06.14,14-Jun-95,1995,6,Unprovoked,USA,Hawaii,"Opposite Grand Wailea Resort, Wailea, Maui",Swimming,M,38,Puncture wounds & scratches to torso & left leg ,N,11h50,Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.06.14-Bloom.pdf
1995.06.13,13-Jun-95,1995,6,Unprovoked,HONG KONG,Clearwater Bay,First Beach,Swimming,F,45,"FATAL, left  leg & forearm severed",Y,UNKNOWN,Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.06.13-HongKong.pdf
1995.06.02,02-Jun-95,1995,6,Unprovoked,HONG KONG,New Territories,Sheung Sze Wan Beach,Swimming,M,29,"FATAL, right thigh bitten, femur exposed  ",Y,14h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.06.02-Herman.pdf
1995.05.31,31-May-95,1995,5,Unprovoked,HONG KONG,New Territories,Sai Kung Beach,Diving,UNKNOWN,44,"FATAL, right leg severed, left leg lacerated ",Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.05.31-Tso.pdf
1995.05.26,26-May-95,1995,5,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Surfing,M,15,Left foot bitten,N,UNKNOWN,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.05.26-Enck.pdf
1995.05.24,24-May-95,1995,5,Unprovoked,FIJI,Yasawa Islands,Waya Island,Sleeping in anchored boat,M,69,"FATAL, hand & leg severely injured by shark that leapt into boat  ",Y,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.05.24-Vindovi.pdf
1995.05.18,18-May-95,1995,5,Unprovoked,AUSTRALIA,Western Australia,"Bernier Island, Shark Bay",UNKNOWN,UNKNOWN,UNKNOWN,No details,UNKNOWN,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.05.18-NV-Hutchins.pdf
1995.05.12,12-May-95,1995,5,Unprovoked,SOUTH KOREA,UNKNOWN,Jangkodo Island,Diving for abalone,F,44,Right leg severed FATAL,Y,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.05.12-Sun-Shim.pdf
1995.04.16,16-Apr-95,1995,4,Invalid,USA,Florida,"New Smyrna Beach, Volusia County",UNKNOWN,M,12,Dorsum of right hand bitten,N,10h35,Blue Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.04.16-CM.pdf
1995.04.13,13-Apr-95,1995,4,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",UNKNOWN,M,20,Puncture wounds on right foot,N,13h20,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.04.13-NV-OrmondBeach.pdf
1995.04.09.b,09-Apr-95,1995,4,Unprovoked,AUSTRALIA,New South Wales,"Honeysuckle Point, Eden",Diving,M,UNKNOWN,"No injury, shark took swimfin",N,UNKNOWN,Wobbegong Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.04.09.b-Malone.pdf
1995.04.09.a,09-Apr-95,1995,4,Unprovoked,JAPAN,Aichi Prefecture,Atsumi Peninsula,Scuba diving for bivalves,M,47,FATAL,Y,10h15,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.04.09.a-Hara.pdf
1995.03.21,21-Mar-95,1995,3,Unprovoked,AUSTRALIA,New South Wales,"Clark Island, Sydney Harbour",Surf skiing,F,UNKNOWN,"No injury, knocked off board by shark",N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.03.21-Meagher.pdf
1995.03.11,11-Mar-95,1995,3,Unprovoked,AUSTRALIA,South Australia,Cactus Beach,Surfing,M,35,Left arm lacerated,N,07h30,Bronze Whaler Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.03.11-McBain.pdf
1995.03.05,05-Mar-95,1995,3,Unprovoked,BRAZIL,Maranh�o,"Praia do Olho D'�gua, S�o Luis",Swimming,UNKNOWN,UNKNOWN,FATAL,Y,Afternoon,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.03.05-Brazil.pdf
1995.02.19,19-Feb-95,1995,2,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kidd�s Beach,Swimming,M,22,Lacerations to lower leg & foot,N,17h15,Sand Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.02.19-Deetlefs.pdf
1995.02.00,Feb-95,1995,2,Unprovoked,VENEZUELA,UNKNOWN,UNKNOWN,Wind surfing,M,UNKNOWN,Right ankle & foot bitten,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.02.00-JustinJames.pdf
1995.01.24,24-Jan-95,1995,1,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Isipingo,Swimming,M,14,"FATAL, right thigh bitten & femur exposed, shallow lacerations on right calf & left thigh & fingers lacerated ",Y,18h00,Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.01.24-Mpanza.pdf
1995.01.02,02-Jan-95,1995,1,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,M,17,Foot bitten,N,UNKNOWN, ,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.01.02-H.de-SouzaMoraes.pdf
1995.00.00.e,1995,1995,0,Invalid,SOUTH AFRICA,UNKNOWN,UNKNOWN,Diving,M,33,Reportedly lost lower right leg as result of shark bite,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.00.00.e-Sacks.pdf
1995.00.00.d,1995,1995,0,Provoked,AUSTRALIA,Queensland,Gladstone Reef,Snorkeling,M,UNKNOWN,"No injury, grabbed byshark after he pulled its tail PROVOKED INCIDENT",N,UNKNOWN,Leopard shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.00.00.d-Gladstone.pdf
1995.00.00.c,1995,1995,0,Invalid,USA,North Carolina,Carolina Beach,Scuba diving,M,UNKNOWN,Death resulted fom drowning; shark bites were post-mortem,Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.00.00.c-Nunley.pdf
1995.00.00.b,1995,1995,0,Unprovoked,USA,South Carolina,"Pawleys Island, Georgetown County",UNKNOWN,M,UNKNOWN,No details,UNKNOWN,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.00.00.b-NV-PawleysIsland.pdf
1994.12.30,30-Dec-94,1994,12,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Body boarding,M,26,"No injury, board bitten",N,16h00,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.30-VanZyl.pdf
1994.12.18,18-Dec-94,1994,12,Unprovoked,USA,Hawaii,"Kinikini, Mana, Kaua'i","Surfing, sitting on board",UNKNOWN,UNKNOWN,"No injury, shark bit surfboard",N,14h45,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.18-Kaui-surfer.pdf
1994.12.13,13-Dec-94,1994,12,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,M,UNKNOWN,Survived,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.13-TiagoCostaDaLima.pdf
1994.12.11,11-Dec-94,1994,12,Unprovoked,BRAZIL,Pernambuco,Paiva,Surfing,M,UNKNOWN,Right thigh bitten,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.11-JorgeDeOliveiraAndrade.pdf
1994.12.10,Reported      10-Dec-1994 ,1994,12,Unprovoked,VANUATU,Tafea Province,Aniwa Island,UNKNOWN,UNKNOWN,UNKNOWN,No details,UNKNOWN,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.10-NV-Vanuatu.pdf
1994.12.09.b,09-Dec-94,1994,12,Invalid,AUSTRALIA,Queensland,"Hinchinbrook Channel, Queensland",Murder victim,M,44,Shark scavenged on his corpse,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.09.b-Saibura-murder victim.pdf
1994.12.09.a,09-Dec-94,1994,12,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County",Commercial diver (submerged or treading water),M,42,"FATAL, right leg nearly severed, puncture wounds to left leg ",Y,08h45,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.09.a-Robinson_Collier.pdf
1994.12.01,01-Dec-94,1994,12,Unprovoked,BRAZIL,Pernambuco,Paiva,Surfing,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.01-LaudenilsonGomesDeLima.pdf
1994.11.25.a,25-Nov-94,1994,11,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Spearfishing,M,UNKNOWN,No injury,N,UNKNOWN,Sand Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.11.25-Bosman.pdf
1994.11.13,13-Nov-94,1994,11,Unprovoked,USA,Hawaii,"Off the Hanalei River, Kaua'i","Surfing, paddling seawards",F,34,Right thigh & board bitten,N,09h45,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.11.13-Lunn.pdf
1994.11.06.a,06-Nov-94,1994,11,Unprovoked,USA,Hawaii,"Kealia Beach, Kaua'i",Surfing,UNKNOWN,UNKNOWN,"No injury, shark bit surfboard",N,16h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.11.06.a-Stokes.pdf
1994.10.18,18-Oct-94,1994,10,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,UNKNOWN,UNKNOWN,Survived,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.10.18-Piedade.pdf
1994.10.17,17-Oct-94,1994,10,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,M,UNKNOWN,Survived,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.10.17-EdnaldoJoseDaSilva.pdf
1994.10.08,09-Oct-94,1994,10,Provoked,USA,Florida,"Bill Baggs Cape Florida State Recreation Area, Miami-Dade County",Wading,F,9,Ankle bitten when she accidently stepped on the shark  PROVOKED INCIDENT,N,13h00,Sand Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.10.08-Parker.pdf
1994.10.05,05-Oct-94,1994,10,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,M,16,Foot bitten,N,12h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.10.05-ScottDulmage.pdf
1994.09.26,26-Sep-94,1994,9,Unprovoked,USA,South Carolina,"North Forest Beach, near Hilton Head, Beaufort County",Swimming,F,30,Right side of abdomen & left hand bitten,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.09.26-Kozarinova.pdf
1994.09.21,21-Sep-94,1994,9,Unprovoked,USA,Oregon,"Short Sand Beach, Oswald West State Park",Surfing,M,43,"No injury, surfboard bitten",N,16h30,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.09.21-MacKenzie_Collier.pdf
1994.09.11.R,Reported 11-Sep-1994,1994,9,Sea Disaster,USA,Florida,Florida Straits,Adrift on refugee raft,M,7      &    31,FATAL,Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.09.11.R-CubanRefugees.pdf
1994.09.05,05-Sep-94,1994,9,Unprovoked,USA,Hawaii,Makaha Surf Beach,Jumped off rocks into white water,F,12,Left calf bitten,N,11h15,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.09.05-RoseAnnSavea.pdf
1994.08.22,22-Aug-94,1994,8,Unprovoked,JAPAN,Kagoshima Prefecture,Tatsugo-cho,UNKNOWN,UNKNOWN,UNKNOWN,Survived,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.08.22-Yashuhara.pdf
1994.07.24,24-Jul-94,1994,7,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,15,Left foot severed,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.24-Carlos_Martins.pdf
1994.07.09.d,09-Jul-94,1994,7,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.09.d-AlessandroGomesDeSouza.pdf
1994.07.09.c,09-Jul-94,1994,7,Unprovoked,REUNION,Saint-Denis,Barachois,Windsurfing,M,24,FATAL,Y,13h45,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.09.c-Boulay.pdf
1994.07.09.b,09-Jul-94,1994,7,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,22,"FATAL, leg severed ",Y,13h26,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.09.b-Corby.pdf
1994.07.09.a,09-Jul-94,1994,7,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,31,Buttock & leg bitten,N,13h25,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.09.a-Carter.pdf
1994.07.08.b,08-Jul-94,1994,7,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,UNKNOWN,Survived,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.08.b-SandroPaulosDosSantos.pdf
1994.07.08.a,08-Jul-94,1994,7,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Right calf lacerated,N,15h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.08.a-MichaelPost.pdf
1994.06.24,24-Jun-94,1994,6,Unprovoked,BAHAMAS,Grand Bahama Island,Freeport,Spearfishing,M,30,Forearm severely bitten,N,15h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.06.24-Curtis.pdf
1994.05.31.b,31-May-94,1994,5,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,24,Foot lacerated,N,10h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.05.31.b-Polack.pdf
1994.05.31.a,31-May-94,1994,5,Unprovoked,USA,Florida," Daytona Beach, Volusia County",Surfing,M,28,Right foot lacerated,N,08h00,Spinner Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.05.31.a-Reeber.pdf
1994.05.28,28-May-94,1994,5,Unprovoked,USA,Florida,"3 miles east of Jacksonville Beach, Duval County",Spearfishing,M,35,Shoulder bitten,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.05.28-Plumer.pdf
1994.05.24,24-May-94,1994,5,Unprovoked,USA,Florida,"Spessard Holland Park, Melbourne Beach, Brevard County",Wading,F,36,Lower left calf & ankle  lacerated,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.05.24-female.pdf
1994.05.23,23-May-94,1994,5,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,26,Gash on ankle,N,Afternoon,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.05.23-Sellmer.pdf
1994.05.15,15-May-94,1994,5,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,Right knee lacerated,N,08h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.05.15-Tatro.pdf
1994.04.16,Reported 16-Apr-1994,1994,4,Invalid,USA,California,"Sunset Cliffs, San Diego, San Diego County",UNKNOWN,F,25,Not a shark attack; possibly murder. Body recovered 4-16-1994 minus severed leg,Y,UNKNOWN,Blue Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.04.16-Emster.pdf
1994.04.15,15-Apr-94,1994,4,Unprovoked,REUNION,Saint-Joseph,Lieu-dit Cayenne,UNKNOWN,UNKNOWN,UNKNOWN,FATAL,Y,UNKNOWN,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.04.15-Reunion.pdf
1994.04.06,06-Apr-94,1994,4,Unprovoked,BAHAMAS,UNKNOWN,Rum Cay,Wading,M,20?,Lower right  leg bitten,N,10h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.04.06-Wagemann.pdf
1994.04.03,03-Apr-94,1994,4,Unprovoked,USA,Florida,"Miami Beach, Dade County",Freediving for seashells,M,71,Left shoulder lacerated,N,15h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.04.03-Tozo.pdf
1994.04.02,02-Apr-94,1994,4,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,M,UNKNOWN,FATAL  ,Y,UNKNOWN,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.04.02-dwRies.pdf
1994.03.23.b,23-Mar-94,1994,3,Unprovoked,CHILE,UNKNOWN,300 miles east of Easter Island,Swimming alongside NOAA research vessel Discoverer,F,19,Leg severed mid-thigh,N,11h58,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.03.23.b-Boswell.pdf
1994.03.23.a,23-Mar-94,1994,3,Unprovoked,CHILE,UNKNOWN,300 miles East of Easter Island,Swimming alongside NOAA research vessel Discoverer,M,UNKNOWN,Thigh bitten,N,11h51,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.03.23.a-Buffington.pdf
1994.03.07,07-Mar-94,1994,3,Provoked,USA,California,UNKNOWN,Removing shark from tank in nightclub ,M,33,Arm lacerated by captive shark PROVOKED INCIDENT,N,UNKNOWN,Lemon Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.03.07-Rosenbloome.pdf
1994.03.01,01-Mar-94,1994,3,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,25,Leg bitten,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.03.01-Albano.pdf
1994.02.27,27-Feb-94,1994,2,Unprovoked,SOUTH AFRICA,Western Cape Province,Saxon Reef,Spearfishing,M,UNKNOWN,Swim fin bitten,N,11h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.02.27-Lieberman.pdf
1994.02.19,19-Feb-94,1994,2,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,23,Left foot bitten,N,13h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.02.19-Riley.pdf
1994.02.13,13-Feb-94,1994,2,Provoked,USA,Hawaii,Kailua Bay,Fishing,M,UNKNOWN,Arm bitten while trying to secure shark caught by navy personnel from vessel PROVOKED INCIDENT,N,17h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.02.13-Magbanua.pdf
1994.02.12,12-Feb-94,1994,2,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Beachview Holiday Resort,Surfing,M,15,Leg bitten ,N,16h30,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.02.12-Anderson.pdf
1994.02.00,Feb-94,1994,2,Unprovoked,NEW CALEDONIA,South Province,Cap Goulvain,Fishing,UNKNOWN,UNKNOWN,"FATAL, right foot severed",Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.02.00-Manuireva.pdf
1994.01.31.b,31-Jan-94,1994,1,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,UNKNOWN,Right leg bitten,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.01.31.b-SG.pdf
1994.01.31.a,31-Jan-94,1994,1,Unprovoked,USA,Hawaii,"Velzyland, north shore of O'ahu",Surfing,M,UNKNOWN,FATAL,Y,UNKNOWN,Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.01.31.a-Broach.pdf
1994.01.30,30-Jan-94,1994,1,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Windsurfing,M,44,Calf bitten,N,13h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.01.30-Austin.pdf
1994.01.12.R,Reported 12-Jan-1994,1994,1,Boat,AUSTRALIA,Western Australia,Albany,Fishing,UNKNOWN,UNKNOWN,"No injury to occupants, shark bit anchor and ladder",N,07h30,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.01.12.R-Turnbull.pdf
1994.01.09,09-Jan-94,1994,1,Unprovoked,AUSTRALIA,Queensland,"Katana Downs Reach, Brisbane River","Swimming, after falling off towed kneeboard",M,23,Hamstring bitten,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.01.09-Cochrane.pdf
1994.01.03,03-Jan-94,1994,1,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Hibberdene,Swimming ,M,33,Foot bitten,N,16h15,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.01.03-Galbraith.pdf
1994.00.00.b,Last incident of 1994 in Hong Kong,1994,0,Unprovoked,HONG KONG,UNKNOWN,UNKNOWN,Playing volleyball with friends,F,UNKNOWN,Both legs lacerated,N,UNKNOWN,Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.00.00.b-NV-HongKong.pdf
1994.00.00.a,1994,1994,0,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,M,UNKNOWN,Foot bitten,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.00.00.a--JeffWeakley.pdf
1993.12.00,Dec-93,1993,12,Unprovoked,USA,Hawaii,Waipo,Surfing,M,UNKNOWN,FATAL,Y,UNKNOWN,Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.12.00-McMoyler.pdf
1993.11.28,28-Nov-93,1993,11,Unprovoked,USA,Florida,"North Beach Jetty, St Lucie County",Swimming,M,30,"""Minor cuts to left leg""",N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.11.28-Johnson.pdf
1993.11.21,21-Nov-93,1993,11,Unprovoked,AUSTRALIA,Western Australia, A pearl  farm in Roebuck Bay,Hookah diving,M,27,FATAL,Y,15h15,Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.11.21-Bisley.pdf
1993.11.12,12-Nov-93,1993,11,Unprovoked,USA,Hawaii,"Horners, Wailua, Kaua'i","Surfing, paddling shorewards",M,UNKNOWN,Left leg severely bitten,N,10h55,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.11.12-Silva.pdf
1993.11.00,Nov-93,1993,11,Unprovoked,SOMALIA,Banaadir Region,Mogadishu,Stamding,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.11.00-RussianMale.pdf
1993.10.30,30-Oct-93,1993,10,Unprovoked,USA,California,"""Bunkers"" Eureka, Humboldt County",Surfing,M,26,Serious injury to left leg,N,16h30,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.10.30-Williams_Collier.pdf
1993.10.26,26-Oct-93,1993,10,Unprovoked,USA,Florida,"Treasure Shores Beach, Indian River County",Swimming,F,26,Thigh & hand lacerated,N,10h00,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.10.26-Schauman.pdf
1993.10.10,10-Oct-93,1993,10,Boat,USA,California,"Goat Rock, Bodega Bay, Sonoma County?",Kayaking,F,34,"No Injury, Kayak holed",N,14h30,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.10.10-Johnson_Collier.pdf
1993.10.00,Oct-93,1993,10,Unprovoked,USA,Hawaii,"Mouth of Wallua River, Kaua'i",Surfing,UNKNOWN,UNKNOWN,Serious leg wounds,N,UNKNOWN,Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.10.00-WalluaRiver.pdf
1993.09.30,30-Sep-93,1993,9,Unprovoked,SOMALIA,Banaadir Region,Mogadishu,Swimming,M,21,FATAL,Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.30-Nicholson.pdf
1993.09.26,26-Sep-93,1993,9,Unprovoked,SOUTH AFRICA,Western Cape Province,Danger Point,Spearfishing,M,36,Calf lacerated,N,11h30,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.26-Bouwer.pdf
1993.09.16.b,16-Sep-93,1993,9,Unprovoked,EL SALVADOR,La Libertad,near El Cocal Beach,Surfing,UNKNOWN,15,Left leg gashed,N,UNKNOWN,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.16.b-Roque.pdf
1993.09.16.a,16-Sep-93,1993,9,Unprovoked,EL SALVADOR,La Libertad,El Cocal Beach,Surfing,M,17,"FATAL, arms & legs bitten, then drowned ",Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.16.a-Castaneda.pdf
1993.09.14,14-Sep-93,1993,9,Unprovoked,USA,Florida,"Huguenot Memorial Park, Duval County",Wading,M,19,Left foot bitten,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.14-Quick.pdf
1993.09.09,09-Sep-93,1993,9,Unprovoked,USA,Florida,"Little Talbot Island, Jacksonville, Duval County",UNKNOWN,M,16,Left foot bitten,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.09-McInarnay.pdf
1993.09.03,03-Sep-93,1993,9,Unprovoked,SPAIN,Costa Blanca,"Playa de las Arenas, Valencia ",Swimming,M,69,"Thigh bitten, toes of left foot severed",N,08h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.03-Heredia.pdf
1993.08.21,21-Aug-93,1993,8,Unprovoked,BAHAMAS,Walkers Cay,"Matinella Reef, 15 to 20 miles west of Walkers Cay",Spearfishing,M,51,Leg bitten,N,17h15,Blacktip Reef Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.21-Barnes.pdf
1993.08.19.R,Reported      19-Aug-1993,1993,8,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Surfing,UNKNOWN,13,Right foot bitten,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.19.R-Bushong.pdf
1993.08.19, 19-Aug-1993,1993,8,Unprovoked,USA,Hawaii,"Paukukalo, Maui","Surfing, paddling seawards",M,UNKNOWN,Abrasions & board bitten,N,07h05,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.19.a-Williams.pdf
