,SEX,AGE,ACTIVITY,COUNTRY,MONTH,YEAR,SPECIES,TYPE,FATAL,INJURY
616,M,Children,Wading,USA,1,2013,Bull shark,Unprovoked,N,OTHERS
622,M,Youth,Swimming,USA,9,2013,Bull shark,Unprovoked,N,LOWER EXTREMITIES
623,F,Children,Surfing,USA,9,2013,Non defined,Unprovoked,N,OTHERS
625,M,Adult,Surfing,USA,9,2013,Non defined,Provoked,N,LOWER EXTREMITIES
626,M,Young Adult,Standing,USA,9,2013,Non defined,Unprovoked,N,OTHERS
630,M,Children,Casting,USA,9,2013,White shark,Unprovoked,N,OTHERS
639,F,Youth,Snorkeling,USA,8,2013,Tiger shark,Unprovoked,Y,FATAL
641,M,Children,Surfing,USA,8,2013,Bull shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
643,M,Youth,Fishing,USA,8,2013,Bull shark,Unprovoked,N,LOWER EXTREMITIES
646,M,Adult,Spearfishing,BAHAMAS,7,2013,Non defined,Unprovoked,N,LOWER EXTREMITIES
648,M,Youth,Surfing,USA,7,2013,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
649,M,Adult,Cleaning,BAHAMAS,7,2013,Non defined,Unprovoked,N,OTHERS
663,M,Children,Swimming,USA,6,2013,Non defined,Unprovoked,N,LOWER EXTREMITIES
664,M,Young Adult,Swimming,USA,6,2013,Tiger shark,Unprovoked,N,OTHERS
668,F,Children,Boarding,USA,6,2013,Non defined,Unprovoked,N,OTHERS
675,M,Young Adult,Surfing,ECUADOR,5,2013,Non defined,Unprovoked,N,OTHERS
677,M,Adult,boarding,REUNION,5,2013,Bull shark,Unprovoked,Y,FATAL
678,M,Youth,Surfing,USA,5,2013,Non defined,Unprovoked,N,LOWER EXTREMITIES
680,F,Young Adult,Swimming,MEXICO,4,2013,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
681,M,Adult,Fishing,AUSTRALIA,4,2013,Non defined,Unprovoked,N,LOWER EXTREMITIES
