Year,Country,Area,Activity,Sex,Fatal (Y/N)
2010,USA,Florida,Fishing,M,N
2010,USA,Florida,Boarding,M,Y
2010,AUSTRALIA,Queensland,Surfing,M,N
2010,AUSTRALIA,Victoria,Surfing,M,N
2010,AUSTRALIA,Torres Strait,Swimming,F,N
2010,USA,Florida,Fishing,M,N
2009,AUSTRALIA,New South Wales,Swimming,M,N
2009,AUSTRALIA,Queensland,Paddling,M,N
2009,AUSTRALIA,Queensland,Fishing,M,N
2009,SOUTH AFRICA,Eastern Cape Province,Other,M,Y
2009,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,N
2009,AUSTRALIA,New South Wales,Surfing,M,N
2009,USA,California,Surfing,M,N
2009,USA,Florida,Wading,M,N
2009,USA,California,Fishing,M,N
2009,USA,Florida,Surfing,M,N
2009,USA,Florida,Surfing,F,N
2009,USA,Florida,Surfing,M,N
2009,AUSTRALIA,South Australia,Paddling,M,N
2009,USA,California,Surfing,M,N
2009,AUSTRALIA,Victoria,Paddling,M,N
2009,AUSTRALIA,New South Wales,Boarding,F,N
2009,USA,California,Surfing,M,N
2009,USA,Hawaii,Surfing,M,N
2009,AUSTRALIA,Western Australia,Diving,M,N
2009,USA,California,Surfing,M,N
2009,USA,Florida,Swimming,M,N
2009,BRAZIL,Pernambuco,Unknown,M,Y
2009,USA,North Carolina,Swimming,M,Y
2009,BRAZIL,Pernambuco,Swimming,M,Y
2009,USA,California,Surfing,M,N
2009,SOUTH AFRICA,Western Cape Province,Surfing,M,Y
2009,USA,California,Swimming,F,N
2009,SOUTH AFRICA,KwaZulu-Natal,Boarding,M,N
2009,USA,Florida,Swimming,M,N
2009,USA,Hawaii,Surfing,M,N
2009,AUSTRALIA,New South Wales,Surfing,M,N
2009,USA,Texas,Wading,F,N
2009,USA,North Carolina,Swimming,F,N
2009,USA,Florida,Swimming,F,N
2009,USA,California,Surfing,M,N
2009,SOUTH AFRICA,Western Cape Province,Surfing,M,N
2009,USA,Florida,Boarding,F,N
2009,USA,Florida,Swimming,F,N
2009,AUSTRALIA,New South Wales,Surfing,M,N
2009,USA,California,Surfing,M,N
2009,USA,Florida,Other,M,N
2009,USA,Florida,Swimming,M,N
2009,USA,Florida,Surfing,M,N
2009,USA,Florida,Surfing,M,N
2009,USA,Florida,Surfing,M,N
2009,USA,Florida,Unknown,F,N
2009,USA,California,Surfing,M,N
2009,USA,Florida,Surfing,M,N
2009,USA,Florida,Surfing,M,N
2009,AUSTRALIA,New South Wales,Water-Ski,M,N
2009,USA,Florida,Surfing,M,N
2009,USA,Hawaii,Fishing,M,N
2009,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,Y
2009,USA,California,Fishing,M,N
2009,USA,Florida,Wading,M,N
