,Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N)
1281,2006.02.01.a,Feb,2006,Boat,USA,Hawaii,"Off Pu'u Ola'l, Makena, Maui",Kayaking,M,57,N
1283,2006.01.25,Jan,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Coffee Bay,Spearfishing,M,34,N
1286,2006.01.15,Jan,2006,Unprovoked,AUSTRALIA,Western Australia,"Off City Beach, Perth",Scuba diving,M,52,N
1288,2006.01.07,Jan,2006,Unprovoked,AUSTRALIA,Queensland,"Amity Point, North Stradbroke Island",Swimming,F,21,Y
1289,2006.01.04,Jan,2006,Unprovoked,USA,Florida,"Round Island Park, Indian River County",Surfing,M,21,N
1290,2006.01.01,Jan,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Soetwater,Diving for crayfish,M,49,N
1291,2005.12.24,Dec,2005,Unprovoked,USA,Oregon,"Tillamook Head, Clatsop County",Surfing,M,30,N
1292,2005.12.21,Dec,2005,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Swimming,M,29,N
1294,2005.12.11,Dec,2005,Unprovoked,AUSTRALIA,Queensland,St. Crispin Reef,Spearfishing,M,44,N
1297,2005.11.27,Nov,2005,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,23,N
1299,2005.11.25.b,Nov,2005,Unprovoked,AUSTRALIA,Victoria,Flinders,Surfing,M,18,N
1300,2005.11.25.a,Nov,2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,26,N
1302,2005.11.21,Nov,2005,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Surfing,M,30,N
1303,2005.11.20,Nov,2005,Unprovoked,USA,Florida,"New Smyrna  Beach, Volusia County",Surfing,M,17,N
